Category,fe_U_gkm,fe_U_tTJ,fe_R_gkm,fe_R_tTJ,fe_H_gkm,fe_H_tTJ,fe_T_gkm,fe_T_tTJ
Passenger Cars,241.9981,71.9404,148.2402,73.2932,152.5005,72.8658,167.1111,72.8300
Light Commercial Vehicles,336.0266,74.3160,198.1369,74.4157,279.7210,74.3730,248.9261,74.3725
Heavy Duty Trucks,983.6285,74.4839,626.2368,74.5241,653.8983,74.5396,675.4507,74.5284
Buses,1.113.0176,70.2614,712.7490,73.9798,600.0238,74.5340,730.2207,73.0122
Mopeds,47.4524,76.5567,47.4524,76.5567,-,-,47.4524,76.5567
Motorcycles,96.8333,72.7468,89.8263,73.5049,118.5428,72.4806,95.4663,72.9780
