Data,Ente,gg,mezzo,Km_auto,Km_mezzi,Km_bici,Km_piedi,alimentazione,NOX,NOXT,PM10,PM10T,CO2,CO2T
2020/06/05 9:04:24 AM EET,Cal,35.0,Auto/Moto/Scooter/Ciclomotore,30.0,0.0,0.0,0.0,GPL,0.011265,0.00039427500000000003,0.000966,3.3809999999999996e-05,5.013332999999999,0.17546665499999997
2020/06/05 9:05:01 AM EET,Ven,34.0,Auto/Moto/Scooter/Ciclomotore,10.0,0.0,0.0,0.0,Benzina,0.003755,0.00012767,0.000322,1.0948000000000001e-05,1.6711109999999998,0.056817773999999995
2020/06/05 9:05:36 AM EET,EMR,0.0,Auto/Moto/Scooter/Ciclomotore,40.0,0.0,0.0,0.0,Ibrido,0.01502,0.0,0.001288,0.0,6.684443999999999,0.0
2020/06/05 9:05:59 AM EET,Ven,30.0,Auto/Moto/Scooter/Ciclomotore,15.0,0.0,0.0,0.0,Metano,0.0056325,0.000168975,0.000483,1.449e-05,2.5066664999999997,0.07519999499999999
2020/06/05 9:06:09 AM EET,Ven,62.0,Auto/Moto/Scooter/Ciclomotore,28.0,0.0,0.0,0.0,Benzina,0.010513999999999999,0.0008516339999999999,0.0009015999999999999,7.302959999999998e-05,4.679110799999999,0.3790079747999999
2020/06/05 9:06:32 AM EET,EMR,60.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:07:50 AM EET,EMR,43.0,Auto/Moto/Scooter/Ciclomotore,30.0,0.0,0.0,0.0,Ibrido,0.011265,0.00048439500000000004,0.000966,4.1538e-05,5.013332999999999,0.21557331899999996
2020/06/05 9:07:56 AM EET,Ven,55.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:08:29 AM EET,Pie,4.0,Auto/Moto/Scooter/Ciclomotore,10.0,0.0,0.0,2.0,Diesel,0.003755,1.502e-05,0.000322,1.288e-06,1.6711109999999998,0.0066844439999999995
2020/06/05 9:08:30 AM EET,Ven,40.0,Bicicletta/monopattino,0.0,0.0,8.0,0.0,NON USO QUESTA MODALITA' DI SPOSTAMENTO,,,,,,
2020/06/05 9:08:35 AM EET,Cal,9.0,Auto/Moto/Scooter/Ciclomotore,20.0,0.0,0.0,0.0,Diesel,0.00751,6.759e-05,0.000644,5.796000000000001e-06,3.3422219999999996,0.030079997999999997
2020/06/05 9:08:36 AM EET,Ven,62.0,Auto/Moto/Scooter/Ciclomotore,12.0,0.0,0.0,0.0,Benzina,0.0045060000000000005,0.00041455200000000005,0.00038639999999999996,3.55488e-05,2.0053332,0.18449065439999998
2020/06/05 9:08:39 AM EET,Ven,60.0,Mezzi pubblici (autobus/tram/treno...),,,,,,,,,,,
2020/06/05 9:08:46 AM EET,Ven,13.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:08:57 AM EET,Ven,46.0,Auto/Moto/Scooter/Ciclomotore,62.0,0.0,0.0,0.0,Diesel,0.023281,0.001070926,0.0019963999999999997,9.183439999999999e-05,10.3608882,0.4766008572
2020/06/05 9:08:58 AM EET,Ven,50.0,Auto/Moto/Scooter/Ciclomotore,15.0,0.0,0.0,0.0,Metano,0.0056325,0.00028162500000000003,0.000483,2.4149999999999997e-05,2.5066664999999997,0.125333325
2020/06/05 9:09:06 AM EET,EMR,61.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:09:16 AM EET,Ven,45.0,Auto/Moto/Scooter/Ciclomotore,120.0,0.0,0.0,0.0,Diesel,0.04506,0.0020277000000000003,0.003864,0.00017387999999999998,20.053331999999997,0.9023999399999999
2020/06/05 9:09:34 AM EET,EMR,50.0,Auto/Moto/Scooter/Ciclomotore,30.0,0.0,0.0,0.0,Benzina,0.011265,0.0005632500000000001,0.000966,4.8299999999999995e-05,5.013332999999999,0.25066665
2020/06/05 9:09:34 AM EET,Umb,12.0,Auto/Moto/Scooter/Ciclomotore,10.0,0.0,0.0,0.0,Benzina,0.003755,4.5060000000000006e-05,0.000322,3.864000000000001e-06,1.6711109999999998,0.020053331999999997
2020/06/05 9:10:06 AM EET,Ven,50.0,Auto/Moto/Scooter/Ciclomotore,20.0,0.0,0.0,0.0,Benzina,0.00751,0.0003755,0.000644,3.22e-05,3.3422219999999996,0.16711109999999996
2020/06/05 9:10:29 AM EET,Ven,0.0,Auto/Moto/Scooter/Ciclomotore,3.0,0.0,0.0,0.0,Benzina,0.0011265000000000001,0.0,9.659999999999999e-05,0.0,0.5013333,0.0
2020/06/05 9:10:32 AM EET,Cal,62.0,Auto/Moto/Scooter/Ciclomotore,44.0,0.0,0.0,0.0,Benzina,0.016522,0.001140018,0.0014168,9.775919999999998e-05,7.352888399999999,0.5073492996
2020/06/05 9:10:48 AM EET,TN,46.0,Mezzi pubblici (autobus/tram/treno...),2.0,22.0,0.0,2.0,Diesel,0.0018867200000000002,8.678912000000001e-05,6.5692e-05,3.021832e-06,0.321297108,0.014779666968
2020/06/05 9:10:57 AM EET,Ven,6.0,Bicicletta/monopattino,0.0,0.0,20.0,0.0,NON USO QUESTA MODALITA' DI SPOSTAMENTO,,,,,,
2020/06/05 9:10:59 AM EET,Ven,0.0,Auto/Moto/Scooter/Ciclomotore,8.0,0.0,0.0,0.0,Benzina,0.003004,0.0,0.0002576,0.0,1.3368887999999999,0.0
2020/06/05 9:11:10 AM EET,Tos,46.0,Mezzi pubblici (autobus/tram/treno...),,,,,,,,,,,
2020/06/05 9:11:25 AM EET,EMR,47.0,Auto/Moto/Scooter/Ciclomotore,,,,,,,,,,,
2020/06/05 9:11:26 AM EET,Sar,40.0,A piedi,0.0,0.0,0.0,1.0,NON USO QUESTA MODALITA' DI SPOSTAMENTO,,,,,,
