Category,fe_U_gkm,fe_U_tTJ,fe_R_gkm,fe_R_tTJ,fe_H_gkm,fe_H_tTJ,fe_T_gkm,fe_T_tTJ
Passenger Cars,0.0436,0.0129,0.0327,0.0161,0.0224,0.0107,0.0322,0.0140
Light Commercial Vehicles,0.0876,0.0194,0.0533,0.0200,0.0738,0.0196,0.0660,0.0197
Heavy Duty Trucks,0.2484,0.0188,0.1619,0.0193,0.1364,0.0155,0.1534,0.0169
Buses,0.2344,0.0148,0.1725,0.0179,0.1109,0.0138,0.1493,0.0149
Mopeds,0.0533,0.0860,0.0527,0.0850,-,-,0.0531,0.0857
Motorcycles,0.0314,0.0236,0.0278,0.0228,0.0247,0.0151,0.0298,0.0228
