Category,fe_U_gkm,fe_U_tTJ,fe_R_gkm,fe_R_tTJ,fe_H_gkm,fe_H_tTJ,fe_T_gkm,fe_T_tTJ
Passenger Cars,0.4984,0.1482,0.3351,0.1657,0.3721,0.1778,0.3755,0.1636
Light Commercial Vehicles,1.1495,0.2542,0.8378,0.3147,1.3921,0.3701,1.0266,0.3067
Heavy Duty Trucks,6.5139,0.4933,3.1632,0.3764,2.6436,0.3013,3.1316,0.3455
Buses,7.6948,0.4857,4.3816,0.4548,3.0419,0.3779,4.2880,0.4287
Mopeds,0.1566,0.2526,0.1566,0.2526,-,-,0.1566,0.2526
Motorcycles,0.1324,0.0995,0.1992,0.1630,0.3743,0.2289,0.1679,0.1283
